"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A project manager for a major annual international sporting event is reviewing data collected after the second of six planned project phases and sees that the team is performing poorly. The project uses a hybrid management model, with a project manager and decentralized decision-making at the team level. The project manager learns that several critical elements are behind schedule, and some delivered services are not operating correctly, resulting in rework and more delays. Also, team members might be enjoying working with the sports teams and being in the media spotlight a bit too much.


What should the project manager do?","Continue to allow the team to make decisions and self-organize around work.","Review performance data and reinforce project goals with the team at the soonest opportunity.","Log the performance issues in the issue log and assign team members to identify and execute solutions.","Coach team members about prioritizing work over having fun.","","B","Some real warning signs are present in this scenario—delays, rework, poor quality, and the team’s distracted work ethic. Though it is early in the project time line, these problems could worsen or compound. Coaching or doing nothing are risky decisions. It is time to intervene in a way that still enables the team to make decisions. Option B, in which the project manager meets with the team to review performance data and reinforce project goals, still empowers the team to take action to correct mistakes and get the project back on track. Logging the issues in the issue log would also be appropriate; however, taking the team’s empowerment away by assigning team members is not the best decision.","II.15 Manage project issues
I.3 Support team performance
I.4 Empower team members and stakeholders","Hybrid","","draft",""
"single_choice","A large project team for a major annual event is reforming with all the same team members. To prepare for the preliminary meeting with the team, the newly assigned project manager reviews the lessons learned repository and sees this highlighted comment: “Team members were distracted at the live matches. The team leads were ineffective at redirecting team member effort.”

How should the project manager approach this situation?","Replace the team leads from the previous year with  stronger, experienced team leads.","Coach the team members from the previous year about professionalism at the live matches.","Establish clearer ground rules with the team and team leads, including disciplinary actions for breaches.","Implement appropriate behavior guidelines and penalties for team members at live matches.","","C","This team needs improved ground rules. The project manager should recognize that the team’s behavior may not change unless something forces it to change--and establishing clearer ground rules can do this. Because the project manager is new, coaching team members about past behavior will seem theoretical to them; the team leads need to be coached as well! Deselecting team leads or implementing guidelines and penalties seems too heavy-handed for a new project manager. The goal is to create a positive dynamic with this new team so they do not make the same mistakes again.","I.12 Define team ground rules","Hybrid","","draft",""
"single_choice","To prepare for this year’s major international sporting event which will be broadcasted live on every continent, the project manager arranges professional media training for key members of the project team and stakeholders. Stakeholder A, who is outspoken and extremely active in the media, is not taking the training class seriously. The facilitator reports the issue by email, stating “I can’t work with this trainee anymore!”

What should the project manager do?","Continue the training and log the issue with stakeholder A.","Attend the next session to confirm the facilitator’s reported issue.","Coach stakeholder A about their attitude and redo their training.","Meet with stakeholder A to determine how to better meet their training needs.","","D","Each stakeholder has different needs. In terms of training, this guideline is no exception, and a project manager must approach this situation with objectivity. Stakeholder A may need more or less training than the others, or a different kind of training. Because the facilitator already seems to have formed a negative opinion of stakeholder A, their relationship might be damaged. Start by prioritizing your stakeholder to understand their needs, even if they are behaving in a difficult way.","I.5 Ensure team members and stakeholders are adequately trained
I.13 Mentor relevant stakeholders
I.1 Manage conflict","Hybrid","","draft",""
"single_choice","A project to build houses is halfway complete and is meeting projected budget and schedule metrics for phase 1. The project manager receives news that the project will only receive 40% of the funding committed for phase 2, but all the houses must be completed. In collaboration with stakeholders, the project manager develops three possible ways forward, which are summarized as follows:

Stakeholder A: Revise the scope because the financial situation could worsen.
Stakeholder B: Use to an incremental development approach to complete the foundation work on the remaining units and seek new finance options. I have a few leads already! We can add this work as a new phase 3.
Stakeholder C: We should choose the least risky option.



Using the given stakeholder power/influence grid and the summaries, which action should the project manager take?","Follow stakeholder B’s suggestion because this is the most important stakeholder.","Follow stakeholder A’s suggestion because it is the least risky.","Examine the options given by stakeholders B and C alongside the business’s strategic goals and value needs.","Conduct a risk analysis of the options given by stakeholders A and B.","","C","The project manager’s role is to collaborate with stakeholders to ensure positive project outcomes. In this case, the project manager needs to deliver the value (completed houses) and balance risk, as the stakeholders A and C have indicated. Stakeholder C's input does not show a way forward, though it indicates the importance of risk management. The options given by stakeholders B and C should be examined alongside the business goals and value delivery requirements. Stakeholder B has the greatest power and influence, as indicated by their placement in the upper-right quadrant of the stakeholder matrix. However, that does not mean that this opinion should automatically be given the highest priority.  Stakeholder C’s place marker indicates a greater degree of power than that of stakeholder A, so choosing the least risky option is more important than what stakeholder A suggests. In fact, stakeholder A’s suggestion may hold great risk, finishing all the houses with 40% of the needed budget.","II.8 Plan and manage scope
II.14 Establish (understand) project governance structure
I.9  Collaborate with stakeholders
II.13 Determine appropriate project management approach
II.1 Execute the project with urgency to deliver business value
III.3 Evaluate and deliver project benefits and value","Hybrid","","draft",""
"multiple_response","A pen manufacturing company needs to deliver 90,000 customized units to a valued customer in 8 weeks. The vendor that will perform the customization is new, but they have agreed to a 2-week time line for their work. The project manager tailors the schedule of this project as follows:







In which two ways could the project manager tailor this project to reduce risk and ensure prompt delivery of the units? (Choose two)","Add a schedule contingency of 1 week and notify the customer.","Prepare to crash the schedule in case phase 2 runs past the projected duration.","Monitor closely and add a checkpoint during phase 2 to check whether the vendor is progressing on time.","Add a penalty for late delivery to the new vendor’s contract.","Agree on acceptance criteria for work in each of the four phases.","C,E","This question asks which actions would reduce risk and ensure prompt delivery. This project manager is working with a new vendor, which introduces risks related to performance, quality, and time. Working closely with the vendor and adding a governance checkpoint during the vendor’s work interval can reduce risk and ensure prompt delivery. Using a definition of done (DoD) to ensure the quality of the work at each phase applies mutually agreed quality milestones to the schedule. Adding time to the schedule is not an ideal way to treat a longtime customer, as this changes the terms of the delivery. Crashing the schedule introduces much risk, so this is not a good option. Finally, adding a penalty to the new vendor’s contract will not accomplish the objective of reducing risk; in fact, it may add risk by rushing the vendor to complete the work.","II.6 Plan and manage schedule
II.8 Plan and manage scope
II.3 Assess and manage risks
II.13 Determine appropriate project methods
II.14 Establish (understand) project governance structure","Predictive","","draft",""
"single_choice","Owners of a small luxury travel magazine want to expand their services to provide bookings for readers’ dream holidays. They commit 15% of the company’s annual profit over 3 years to develop and launch the service. The company creates a high-level vision statement and objectives and key results (OKRs), which they hand over to a consulting company.

Which approach and initial scope decision is suitable for this project to begin work?","The company should use the OKRs to define the scope statement and the consultants can create a product roadmap","The company should decide on a fixed project scope and time line for delivery and then inform the consultants","The consultants should create a project management plan with a defined scope and scope baseline using the information provided by the company","The consultants should create an initial flexible scope and use progressive elaboration based on an agreed time line","","D","Essentially, this question asks you to understand how well the scope of this project seems to be defined at this point and which approach may benefit this type of project the most. In this scenario, the company has a high-level vision for the result and no project management expertise. So, while defining an initial scope is possible, a scope statement is not because they lack the expertise. Furthermore, a flexible rather than fixed scope is suitable because the project goals are still undefined—they are still forming ideas.

The answer needs to acknowledge the role of the hired consultants as the project management experts. While OKRs are useful tools for businesses and project professionals for seeing the bigger picture—the goals of the project and measurable key results for objectives—beginning work based on these and a product roadmap created by consultants is risky.","II.8 Plan and manage scope
II.13 Determine appropriate project methodology/methods and practices","Agnostic","","draft",""
"single_choice","A project management office (PMO) is meeting about the next set of internal projects in the company. A facilitator writes the list on the whiteboard and the group makes some notes.










Which project is most suitable for predictive development?","1 - Improve order processing and delivery times.","2 - Enhance the customer service program.","3 - Improve safety and workflow in the factory.","4 - Redesign the employee benefits program.","","C","While all four projects listed on the whiteboard are about improvements or enhancements and all could use a predictive development approach, the question asks which is “most suitable.” For that, we should think about the level of certainty or what’s known about the work as well as the urgency. Projects with a clearly defined scope—including what the work is and how it will be done, the time line, the budget—or a combination of these—are more suited for a predictive development approach than projects in which this information is not known or is uncertain. The nature of a project’s work or a schedule constraint indicates urgency. In this case, project 3 to improve safety and workflow in the factory has a clearly defined scope and is an urgent matter. The team will use items identified in an inspection and make improvements based on them. For the other projects, more information is needed to understand the scope well enough to create a defined scope statement. While all of these improvements will create positive outcomes, considered together, the safety issue may pose the greatest risk to the company.","II.13 Determine appropriate project methodology/methods and practices","Agnostic","","draft",""
"multiple_response","A government agency is concerned about the continuity of their projects. Many senior staff members who started the agency are retiring in the next 5 to 10 years. Their knowledge and experience as project managers of past and current projects will be critical to the agency’s future success.

A project manager is engaged to steer the effort. Which two options are the best ways of ensuring knowledge transfer for continuity of the agency’s projects? (Choose two)","Create objectives for a mentorship program of junior staff by senior staff and build a knowledge base.","Capture and archive senior staff member knowledge and establish a community of practice for project management.","Prioritize building an organizational culture that values mentoring and a growth mindset.","Review the agency’s continuous improvement plan and ensure it is adequate and understood by everyone.","Digitize the lessons learned repository from past projects.","A,B","A dwindling knowledge base and the need to transfer knowledge is a growing concern in a wide range of organizations and professional areas, including project management. Storing knowledge or making it accessible is only the first step—it is not the only step. Organizations need to prioritize transferring and using that knowledge as a regular part of professional growth and the organizational culture. A dedicated knowledge base along with a mentorship program or a community of practice, is a good idea for ensuring knowledge is stored and can be easily accessed and transferred on a regular basis.","I.13 Mentor relevant stakeholders
II.16 Ensure knowledge transfer for project continuity","Agnostic","","draft",""
"multiple_response","A company designs robotic vacuum cleaners. Sales are declining, so the company wants to pursue a business opportunity in a growing market: to adapt their machinery with artificial intelligence (AI) for use as home companions. A senior business analyst completes a feasibility study and examines the opportunity, delivering three main points:

•	Partner with another company to provide AI technology instead of in-house capability development
•	Success could triple the company’s growth over the next 5 years!
•	Expand existing sales channels.

The stakeholders authorize the project unanimously and appoint a project manager to start work. Which two actions should the project manager perform first? (Choose two)","Determine the contingencies for project risks.","Request data about the growing market from the senior business analyst.","Identify the project stakeholders.","Draft a high-level scope.","Determine resource needs, including personnel and infrastructure changes.","C,D","When a project manager receives incomplete or diverse information about a potential project, they need to be able to piece together the desired outcome and components of value for the organization. In this case, a range of information is given—project strategy, growth projection, and identification of capabilities. The project manager should start with what is given, finding out who can help clarify what the project could or should be. Identifying and engaging stakeholders is the critical step to finding out what the project should be. Then they need to create a high-level scope to be able to begin work. The other tasks can wait until after the vision is better understood in collaboration with the stakeholders. If more data about the home companion market is needed, then the project manager should obtain it as part of data gathering. But since the project was already authorized, this information should already be available. At this stage, a project charter could be written. Once this is done, then the resource needs can be determined. Similarly, after the risks are identified, then the contingencies can be determined.","II.4 Engage stakeholders","Agnostic","","draft",""
"multiple_response","An agile project team previously attempted to launch a new version of streaming fitness videos in an increasingly competitive market. By the end of the last project, competitors had already launched similar products. Stakeholders were disappointed about the loss of value.

Which two actions should the team leadership have taken or done differently to avoid stakeholder dissatisfaction? (Choose two)","Increased the pace of work by adding more human resources","Eliminated errors in the work flow and found efficiencies","Conducted more market research before beginning the project","Used shorter cadences to enable better analysis and  response to market changes","Collaborated more closely with stakeholders","D,E","The previous attempt was challenging because of the increasingly competitive market and the type of value (first to market) desired by stakeholders. Communication with stakeholders is the most immediate and direct way to understand and pursue what will bring value to the business. The definition of value can shift or change during a project—we can learn about this from effective collaboration with stakeholders. The competition is a part of the external business environment that needs continuous monitoring, especially in highly competitive markets. Use of shorter cadences of work provides greater adaptability for change.","II.1 Execute the project with the urgency required to deliver business value
III.2 - Evaluate address external business changes for impact on scope","Agile","","draft",""
