"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A project manager is beginning to plan a construction project that will take place over the next year. During a team discussion about various project elements, one team member reminds the team that this year’s hurricane season is predicted to be more active than normal. Another team member raises concerns about budget limitations imposed by the client.

How should the project manager interpret and document the two members’ concerns?","The weather is an issue, and the budget limitation is an assumption.","Both the assumption about weather and the budget limitation are constraints.","Both the weather and the budget limitation are assumptions.","The concern about the weather describes a risk, and the budget limitation is a constraint.","","D","The team member’s alert about the weather calls attention to a potential risk, and the budget limitation represents a constraint. The likelihood of bad weather is based on weather forecasts and scientific predictions, so we can consider this a situation that should be planned for by using the risk register. A constraint is a limiting factor that affects the execution of a project, program, or portfolio. For now, the client’s budget limitation is a constraint we should be aware of. If it negatively affects the project, it may become an issue.

Assumptions are beliefs or statements taken for granted without proof. An issue is a realized risk or a problem that occurs in a project and that the team needs to take action on right away. Neither the future nor likely bad weather or budget limitation are issues right now.","1.1.4","Predictive","","draft",""
"single_choice","What does the stakeholder engagement plan help to facilitate?","Project integration","Desired participation levels","Project security","Resource availability","","B","The stakeholder engagement plan is a strategic document that outlines how to effectively engage stakeholders throughout the life cycle of a program or project. The stakeholder engagement plan, therefore, can guide a project manager and team in how to work effectively with project stakeholders to achieve the desired participation levels for the project. Stakeholders include the customer or client, so effective engagement with these stakeholders is essential to the health and outcome of a project.","1.2.0","Predictive","","draft",""
"single_choice","Which of the following does a project manager use to define the methods to meet the communication needs and preferences of each stakeholder group for a project?","RACI (responsible, accountable, consulted, informed) matrix","Stakeholder register","Communications management plan","Stakeholder engagement plan","","C","A key skill of a project manager is to communicate effectively with stakeholders.  A communications management plan is a document that describes how the project information will be communicated to the stakeholders, as well as the frequency, format, and content of the communication.

A stakeholder register identifies and analyzes the project stakeholders, including their roles, interests, expectations, and influence. A stakeholder engagement plan identifies the strategies and actions required to promote productive involvement of stakeholders in program and project decision-making and execution. A RACI (responsible, accountable, consulted, informed) matrix will delineate the roles and responsibilities of project team members and stakeholders but it is not intended to explain their communication preferences.","1.2.0.","Agnostic","","draft",""
"single_choice","Which role establishes the project vision and goals in a project with a predictive approach?","Key stakeholder","Project sponsor","Business analyst","Project manager","","B","The project sponsor establishes the project vision and goals. The project sponsor also communicates the vision, goals, and expectations to the team; advocates for the project and the team; and keep projects aligned with business objectives.

The project manager facilitates execution of the project vision and goals to realize the project sponsor’s vision. While a key stakeholder plays a crucial role in ensuring a project's success, their role is about supporting achievement of the established vision and goals. The business analyst role connects the business with the project team or those who provide the required solution to the business’s requirements and needs.","1.3.0.","Predictive","","draft",""
"single_choice","Which statement is true about conflict in project teams?","A project manager should always intervene in a conflict.","Conflict only happens between two people.","Conflict is a natural part of every team environment.","Outcomes of conflicts are recorded in the team charter.","","C","Conflict management is an essential interpersonal and problem-solving skill for project professionals and requires emotional intelligence (EI). Conflict happens in all projects and can involve any number of people. Projects operate in dynamic environments and face many mutually exclusive constraints, including budget, scope, schedule, and quality, which can lead to conflicts. It is common to want to avoid conflict, but not all conflict is negative. How conflict is handled can either lead to more conflict or better decision-making and stronger solutions. Addressing conflict before it escalates beyond useful debate leads to better outcomes, but intervention is not always necessary. Outcomes of conflicts are handled at the project manager’s discretion but if they are recorded in a project artifact, it should probably be in the lessons learned.","1.3.0.","Agnostic","","draft",""
"single_choice","A project manager in a manufacturing company has been assigned to a project to implement a quality control system in the factory. The current system is outdated and has led to a high rate of product defects. This project aims to improve product quality and reduce defects significantly. However, a company-wide survey indicates that 73% of employees are resistant to the changes and are reluctant to adopt the new quality control procedures.

Which statement reflects a project manager demonstrating leadership rather than management?","Instruct the project team members to gather qualitative data about the employee mood.","Strictly enforce the new quality control procedures and implement penalties for noncompliance.","Engage employees in the project, provide training and support, and demonstrate the benefits of the new system.","Postpone the project until employees are more comfortable with the idea of change.","","C","By engaging employees in the project, providing training and support, and demonstrating the benefits of the new system the project is developing, this project manager can share the project vision with resistant stakeholders. Addressing the concerns and needs of the stakeholders through engagement, conversation, and support is an act of leadership. Leadership focuses more on inspiring and motivating people and fostering a collaborative and holistic approach, whereas management focuses on planning, organizing, and ensuring tasks are completed efficiently.

The other options propose solutions to the problem that neither foster a collaborative or holistic approach nor motivate and inspire people about the positive changes planned with the project. Project postponement is certainly possible, but the project has been authorized and the project sponsor will expect the project manager to plan and execute the project. Implementing the change without attempting to coach the employees and then penalizing them for noncompliance will manage completion of the task, but it does not demonstrate the ability to lead people during a time of change. Instructing the project team to gather data about employee resistance should be done, but completing this task won’t lead to an action on the situation.","1.3.4","Agnostic","","draft",""
"multiple_response","An agile project team is conducting a retrospective after a project that had many problems and eventually failed. The relationships among the team members has been damaged because of all the negativity, so they are also assessing morale and emotional health.

Which two statements describe a positive outcome from this retrospective? (Choose 2)","Whoever was responsible for the problems took responsibility and the blame.","Everyone participated in root cause analysis.","The project team focused solely on the failure, making a detailed list of everything that went wrong.","The project team made a list of ways to achieve success in the future.","The team received mandatory training on emotional intelligence (EI).","B,D","Emotionally healthy teams and team members are able to speak openly and with honesty, so if everyone speaks up about what they think caused the problems, this is a great outcome. Team members should also be able to work together to list ways to achieve success in the future.

If the team focuses only on the failures or successes, they will not be conducting the retrospective in the right way. The team needs to look at both what went well and what should be improved. Assigning or claiming blame and responsibility is not the way agile teams operate. Training should be requested by the team, not made mandatory. The team performs together as a unit and is self-organizing.","1.3.5","Agile","","draft",""
"single_choice","A project team is working on an extremely complex project with many identified risks and awareness of likely unidentified risks. The project manager has cautioned the team to also prepare carefully for secondary and residual risks.

Where can the project team find information about these risks so they can execute the project manager's instruction?","Risk management plan","Risk register","Risk matrix","Risk breakdown structure","","B","The team should look in the risk register. The risk register is a comprehensive document that records the details of all identified individual risks to a project. This document includes information about the person responsible for managing the risk, probability, impact, risk score, planned risk responses, risk categories, risk triggers, and timing information. Secondary risks arise as a direct result of implementing a risk response. Once a set of risk responses has been developed, it should be reviewed to see whether the planned responses have added any secondary risks. Residual risks are risks that remain after risk responses have been implemented. The review should also assess the residual risk that will remain once the response actions have been executed.

A risk management plan is a comprehensive document that outlines how risks will be identified, analyzed, responded to, monitored, and controlled throughout the project. This document includes ground rules, procedures, roles, responsibilities, risk categories, tolerance levels, and communication strategies to ensure effective risk management and project success. The risk management plan will contain the details of the processes the team will use to perform various risk management activities, including tracking identified risks, monitoring residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project. We can use a risk matrix to assess and prioritize risks based on their probability of occurrence and the impact they may have on the project. The risk matrix is typically represented as a grid where risks are plotted according to these two dimensions, helping project managers decide which risks need to be managed and which can be ignored. A risk breakdown structure is a hierarchical framework used in project management to identify and categorize potential sources of risk. This framework helps project managers systematically break down and analyze risks, ensuring comprehensive risk identification and management.","1.4.0.","Agnostic","","draft",""
"multiple_response","A business analyst and project manager are working together to clarify requirements that have been elicited from a diverse group of stakeholders. The requirements seem to conflict with one another.

Which three tools or techniques can be helpful in solving this problem? (Choose 3)","Multicriteria analysis","MoSCoW (must have, should have, could have, won't have) analysis","RACI (responsible, accountable, consulted, informed) matrix","Voting","Cause-and-effect diagram","A,B,D","Because requirements should be as clear as possible, the project manager and business analyst need to keep working with these stakeholders to decide what to prioritize. Methods for collaboration and prioritization include multicriteria and MoSCoW (must have, should have, could have, won’t have) analyses and voting. The cause-and-effect diagram is used to discover the root causes of an issue. A RACI (responsible, accountable, consulted, informed) matrix is used to document roles and responsibilities on a project.","1.5.0.","Agnostic","","draft",""
"single_choice","For what purpose or project management area does a project team perform three-point estimating?","Risk response planning","Contract management","Activity planning","Resource leveling","","C","Using three-point estimating—averaging the duration of the most likely, optimistic, and pessimistic scenarios—can help define an approximate range for an activity’s duration or time that it will take to complete the work.

When planning for risk responses a team would use expert judgment, critical thinking, and brainstorming. Contract management requires leadership, great communication skills with vendors and procurement, and knowledge of contract types and particulars. Resource leveling is a tool used for assigning people to work in consideration of compression of project duration or optimizing a schedule. Three-point estimating is not helpful in this task.","2.1.3","Predictive","","draft",""
